VOLUNTEER QUALITY CONTROL
                      volunteer_id       bias   scatter  n_overlap  teolixx_mean_count  relative_scatter
not-logged-in-8c184c22a6683b0c4aee  24.500000 34.648232          2            1.000000         34.648232
                       Sajudevassy  17.000000 27.712813          3            1.000000         27.712813
                          jwang557  21.000000 25.455844          2            1.500000         16.970563
                        ryleeowens  14.500000 23.043437          4            1.500000         15.362291
not-logged-in-e5c96738f8fcef478a2f  24.500000 34.648232          2            2.500000         13.859293
                           erincth  14.000000 19.798990          2            1.500000         13.199327
                      saraisalgado  10.250000 14.495689          2            1.250000         11.596551
                         catrae108  18.666667 22.143472          3            2.000000         11.071736
not-logged-in-03e85494867240616647  12.000000 18.248288          3            1.666667         10.948973
                         halseyyyy   7.666667 13.279056          3            1.333333          9.959292
                          fa6ima_o  24.500000 34.648232          2            3.500000          9.899495
                        KarenMejia  24.500000 34.648232          2            3.500000          9.899495
                        ttn2amazon  20.000000 24.041631          2            2.500000          9.616652
                           amiitha  12.000000 16.093477          3            2.000000          8.046738
not-logged-in-c628726051582fd872ef  15.333333 29.194748          3            3.666667          7.962204
                           2266146   5.500000  7.778175          2            1.000000          7.778175
                           ktarkin  21.500000 30.405592          2            4.000000          7.601398
                 Aiden_Hangebrauck  18.333333 22.501852          3            3.000000          7.500617
                            Pooshr  18.666667 26.274195          3            3.666667          7.165690
                     Mireyalozoyaa  14.000000  7.071068          2            1.000000          7.071068
                        rylogan530   5.000000  7.000000          3            1.000000          7.000000
                        LeonardoCR  16.857143 14.713130          7            2.142857          6.866127
not-logged-in-6113bfbbf91461133e5e  14.000000 25.159491          3            3.666667          6.861679
                            esayre   7.800000  8.983318          5            1.400000          6.416656
                      Rachelpw0427  13.666667 21.361960          3            3.333333          6.408588
                       Marcojsjfnk  20.933333 18.694792         15            2.933333          6.373224
                          rmaclac4   5.500000  6.363961          2            1.000000          6.363961
not-logged-in-9c25a7254c3263f3a2b7  20.000000 28.284271          2            4.500000          6.285394
not-logged-in-a755a6562966f4797995  10.666667 20.207259          3            3.333333          6.062178
